Airtemp,Rel.Hum,Rain,W.Speed,leaf wetness hr.,Bacterial leaf spot,Downy mildew,Powdery mildew,Alternariablight,Rhizopusrot,Girdle beetle
25.7,76,0,0,0.42,0,0,0,0,0,1
24.1,83,0.2,0.1,14.33,1,0,0,0,1,0
24.5,83,0.6,0.1,11.33,1,0,0,0,1,0
23.4,85,1.2,0.1,11.42,0,0,0,0,1,0
25,78,0,0.1,8.5,0,0,0,0,0,1
25.3,76,0,0.2,5.25,0,0,0,0,0,1
25.2,77,0,0.2,8.25,0,0,0,0,0,1
23.4,87,2.6,0.2,20.25,0,0,0,0,1,0
24.1,87,0.8,0.1,17.25,1,0,0,0,1,0
24.7,85,1.4,0.1,12.42,1,0,0,0,1,0
24.3,87,3.6,0.1,7.08,1,0,0,0,1,0
23.1,95,16,0,21.25,0,0,0,0,0,0
24.2,88,0.4,0.2,11.5,1,0,0,0,1,0
25,79,0,0.3,0.17,0,0,0,0,0,1
24.8,80,0.2,0.2,2.58,1,0,0,0,1,0
24.3,82,2.6,0.2,9.42,1,0,0,0,1,0
23.5,88,0.8,0.1,17.25,0,0,0,0,1,0
24.4,83,0,0.2,10.67,1,0,0,0,0,0
25.7,77,0,0.3,0.25,0,0,0,0,0,1
23.9,82,0.4,0.1,4.42,0,0,0,0,1,0
24.1,82,0.6,0.2,15.42,1,0,0,0,1,0
23.8,85,1,0.1,12.5,0,0,0,0,1,0
24.9,80,0.2,0.2,8.17,1,0,0,0,1,0
24.2,84,1.8,0.2,7.67,1,0,0,0,1,0
24.5,83,1.2,0.1,8.25,1,0,0,0,1,0
24.8,81,1.2,0.3,7.92,1,0,0,0,1,0
24.5,80,0.4,0.2,5.08,1,0,0,0,1,0
24.6,80,0,0.2,0.58,1,0,0,0,0,1
24.3,76,0,0.2,6.42,0,0,0,0,0,1
24.9,75,0,0.2,0,0,0,0,0,0,1
23.1,86,3,0,11.42,0,0,0,0,1,0
24.3,81,0.2,0.2,9,1,0,0,0,1,0
23.2,85,0.6,0.1,1.67,0,0,0,0,1,0
24,80,0,0.2,0.5,1,0,0,0,0,1
25.3,75,0,0.1,0,0,0,0,0,0,1
24.8,77,0,0.1,6.25,0,0,0,0,0,1
25.3,74,0,0.1,4.83,0,0,0,0,0,1
25.4,74,0,0.2,1.92,0,0,0,0,0,1
24.9,75,0,0.2,2.67,0,0,0,0,0,1
25.4,75,0,0.2,1.83,0,0,0,0,0,1
25.8,74,0,0.2,0,0,0,0,0,0,1
25,77,0,0.2,0,0,0,0,0,0,1
24.3,79,0,0.1,1.5,0,0,0,0,0,1
23.5,86,3,0,12.42,0,0,0,0,1,0
24.9,80,0,0.1,4.58,1,0,0,0,0,1
24.6,86,20.4,0.1,11,1,0,0,0,1,0
24.6,91,3.4,0.1,17.42,1,0,0,0,0,0
24.2,92,4.4,0,15.33,1,0,0,0,0,0
25.4,80,0.2,0.1,8,1,0,0,0,1,0
25.9,78,0.2,0.1,8.08,0,0,0,0,1,0
25.1,90,10.6,0,13.67,1,0,0,0,1,0
26.1,82,0.2,0.2,10.25,1,0,0,0,1,0
25.8,68,0,0.7,4.42,0,0,0,0,0,1
25.4,66,0,0.5,0,0,0,0,0,0,1
23.4,64,0,0.2,0,0,1,0,0,0,1
24.5,66,14.2,0.1,0.58,0,1,0,0,1,0
25.2,85,7.6,0.1,9.92,1,0,0,0,1,0
25.1,82,0,0.1,2.42,1,0,0,0,0,0
25,83,0.2,0,2.25,1,0,0,0,1,0
26.1,79,0,0,9.67,0,0,0,0,0,1
26.4,75,0,0.1,8.67,0,0,0,0,0,1
26.5,68,0,0.3,7.33,0,0,0,0,0,1
26.7,66,0,0.3,6.08,0,0,0,0,0,1
26.5,63,0,0.2,5.08,0,0,0,0,0,1
25,65,0,0.3,4.58,0,1,0,0,0,1
24.3,61,0,0.2,3.83,0,1,0,0,0,1
23.3,63,0.4,0.1,2.08,0,1,0,0,1,0
23.8,64,0,0.1,6.17,0,1,0,0,0,1
25.6,65,0,0.2,0,0,0,0,0,0,1
27.6,66,0,0.4,6.08,0,0,0,0,0,1
27.1,58,0,0.3,0.92,0,0,1,0,0,0
24.7,55,0,0.2,0,0,0,1,0,0,0
24.8,53,0,0.1,0,0,0,1,0,0,0
24.2,56,0,0.2,0,0,0,1,0,0,0
23.8,60,0,0.2,7.5,0,1,1,0,0,1
23.1,56,0,0.3,7.58,0,0,1,0,0,0
23.1,50,0,0.5,0,0,0,1,0,0,0
25.1,42,0,0.4,0,0,0,0,0,0,0
25.7,51,0,0.3,0,0,0,1,0,0,0
27.2,61,0,0.3,0,0,0,0,0,0,1
26.4,68,0,0.3,0,0,0,0,0,0,1
24.5,83,5.6,0,8.33,1,0,0,0,1,0
25.5,77,0,0.4,8.42,0,0,0,0,0,1
25.8,65,0,0.7,7.25,0,0,0,0,0,1
26,60,0,0.5,0,0,0,1,0,0,1
25.7,59,0,0.7,0,0,0,1,0,0,0
23.8,53,0,0.4,0,0,0,1,0,0,0
22.4,51,0,0.4,0.25,0,0,1,0,0,0
22.7,52,0,0.5,0,0,0,1,0,0,0
23.8,52,0,0.5,0,0,0,1,0,0,0
23.2,54,0.4,0.1,0,0,0,0,0,1,0
23.3,54,0,0.5,0,0,0,1,0,0,0
22.7,51,0,0.6,0,0,0,1,0,0,0
21.9,51,0,0.6,0,0,0,1,0,0,0
22.6,53,0,0.3,0,0,0,1,0,0,0
23.4,59,0,0.3,0,0,0,1,0,0,0
24.1,62,0,0.1,2.42,0,1,0,0,0,1
23.7,66,0.2,0,3.5,0,1,0,0,1,0
26,62,0,0.3,0.08,0,0,0,0,0,1
24.9,56,0,0.5,0,0,0,1,0,0,0
22.3,56,0.6,0,0,0,0,0,0,1,0
21.8,53,0,0.5,0,0,0,1,0,0,0
21.7,53,0,0.4,0.08,0,0,1,0,0,0
22.7,54,0,0.4,0,0,0,1,0,0,0
22.5,58,0,0.4,0,0,0,1,0,0,0
21.2,59,0,0.5,2.33,0,0,1,0,0,0
20.6,57,0,0.3,3.75,0,0,1,0,0,0
19.4,57,0.2,0.1,2.08,0,0,1,0,0,0
21.3,56,0,0.2,0.25,0,0,1,0,0,0
21.8,61,0.4,0.3,1.08,0,1,0,0,1,0
22.1,62,0,0.3,1.83,0,1,0,0,0,1
22.3,61,0.2,0.3,0.42,0,1,0,0,1,0
21.9,64,0,0.2,5.08,0,1,0,0,0,1
22.2,61,0,0.1,4.33,0,1,0,0,0,1
21.3,60,0,0.2,4.08,0,1,1,0,0,1
20.3,57,0.2,0.2,2.67,0,0,1,0,1,0
19.3,51,0,0.4,3,0,0,1,0,0,0
19,54,0,0.2,6.25,0,0,1,0,0,0
19.6,51,0,0.2,6.08,0,0,1,0,0,0
19.3,55,0,0.1,5.42,0,0,1,0,0,0
19.5,56,0.2,0.1,8.17,0,0,1,0,0,0
20.3,57,0,0.2,8,0,0,1,0,0,0
21,62,0,0.2,10.5,0,1,0,0,0,1
20.6,62,0,0.3,10.42,0,1,0,0,0,1
19.6,62,0,0.3,9.5,0,1,0,0,0,1
18.1,56,0.2,0.1,8.92,0,0,1,0,0,0
18.6,56,0,0,7.67,0,0,1,0,0,0
18.3,59,0,0.1,9.58,0,0,1,0,0,0
18.3,59,0,0.1,9,0,0,1,0,0,0
18.7,58,0.4,0,7,0,0,0,0,0,0
19.2,57,0,0,0,0,0,1,0,0,0
18.8,59,0,0,0,0,0,1,0,0,0
17.5,60,0,0,0,0,1,1,0,0,1
16.7,61,0,0.2,0.5,0,1,0,0,0,1
17.5,62,0,0.2,6.08,0,1,0,0,0,1
19.9,61,0,0.2,7.92,0,1,0,0,0,1
21.4,66,0,0.1,9.42,0,1,0,0,0,1
20.8,65,0.4,0.1,10.08,0,1,0,0,1,0
17.7,66,0.2,0.1,10.08,0,1,0,0,0,0
18.9,69,0,0.2,12.17,0,1,0,0,0,1
20,70,0,0.1,12.5,0,1,0,1,0,1
19.9,63,0,0.1,9.92,0,1,0,0,0,1
19.7,61,0,0.1,9.75,0,1,0,0,0,1
18.7,61,0,0.1,9.08,0,1,0,0,0,1
19.3,62,0,0,9.17,0,1,0,0,0,1
19.4,62,0,0.1,10.5,0,1,0,0,0,1
19.6,62,0,0.1,10.83,0,1,0,0,0,1
18.8,64,0,0.1,10.25,0,1,0,0,0,1
19.2,70,0,0.4,12.17,0,1,0,1,0,1
19.5,67,0,0.3,9.25,0,1,0,0,0,1
18.3,60,0,0.3,6,0,1,1,0,0,1
17.6,59,0,0.3,7.08,0,0,1,0,0,0
17.7,59,0,0.3,9.75,0,0,1,0,0,0
17.5,57,0.4,0.2,8.67,0,0,0,0,0,0
18.1,56,0,0.1,7.25,0,0,1,0,0,0
19.2,57.4,0,0,0,0,0,1,0,0,0
19.7,61,0,0,0,0,1,0,0,0,1
14.8,64,0,0,0,0,0,0,0,0,1
21.7,71.5,0,0,0,0,0,0,0,0,1
21.3,68.3,0,0,0,0,1,0,0,0,1
20.8,65,0,0,0,0,1,0,0,0,1
27.4,39,0,0.4,0,0,0,0,0,0,0
20.9,69,0,0.1,11.92,0,1,0,0,0,1
19.6,74,0,0.1,12.08,0,0,0,1,0,1
19.6,64,0,0.1,9.75,0,1,0,0,0,1
17.3,63,0,0.2,9.08,0,1,0,0,0,1
19.1,62,0,0.1,8.5,0,1,0,0,0,1
19.4,63,0,0.1,8.83,0,1,0,0,0,1
18.5,67,0,0.4,11.75,0,1,0,0,0,1
22,64,0.4,0.3,11.42,0,1,0,0,1,0
22,68,0,0.2,11.92,0,1,0,0,0,1
20.7,73,0,0.1,13.25,0,0,0,0,0,1
20.1,69,0.2,0.2,10.33,0,1,0,0,1,0
17.7,62,0,0.1,8.67,0,1,0,0,0,1
18.5,63,0,0.3,9.42,0,1,0,0,0,1
21.2,65,0.4,0.3,11.17,0,1,0,0,1,0
24.1,62,0,0.1,11,0,1,0,0,0,1
20.9,60,0,0.2,8.83,0,1,1,0,0,1
17.6,46,0,0.2,1.92,0,0,1,0,0,0
18,43,0,0.3,0,0,0,0,0,0,0
18.4,46,0,0.3,1.5,0,0,1,0,0,0
20.1,47,0.4,0.1,1.58,0,0,0,0,1,0
21.4,53,0,0.1,5.33,0,0,1,0,0,0
21.3,46,0,0.1,0,0,0,1,0,0,0
21.9,51,0,0.1,5.17,0,0,1,0,0,0
22.5,53,0.2,0.1,6,0,0,1,0,1,0
23.2,51,0,0.2,6.08,0,0,1,0,0,0
23.2,51,0,0.1,4.17,0,0,1,0,0,0
22.5,51,0,0.2,1.17,0,0,1,0,0,0
22.9,50,0.4,0.1,7.17,0,0,0,0,1,0
23.4,50,0,0.1,5.33,0,0,1,0,0,0
22.1,54,0.2,0.2,8.42,0,0,1,0,1,0
22.3,50,0,0.1,8.42,0,0,1,0,0,0
23.5,49,0.2,0.2,8,0,0,1,0,1,0
23.9,46,0,0.2,5.5,0,0,1,0,0,0
24.1,41,0,0.1,0,0,0,0,0,0,0
23.8,42,0,0.1,1.17,0,0,0,0,0,0
23.8,40,0.2,0.1,0,0,0,0,0,1,0
24.5,42,0,0.1,0,0,0,0,0,0,0
24.7,44,0,0.1,0,0,0,0,0,0,0
24,45,0,0.2,3.58,0,0,1,0,0,0
24.1,51,0,0.1,8,0,0,1,0,0,0
25.1,43,0.4,0.1,2.92,0,0,0,0,1,0
25.9,40,0,0.1,0.17,0,0,0,0,0,0
25.9,37,0,0.3,0,0,0,0,0,0,0
26.7,37,0,0.3,0,0,0,0,0,0,0
27.2,44,0,0.2,1.75,0,0,0,0,0,0
26.9,47,0,0.2,8.08,0,0,1,0,0,0
24.8,37,0,0.2,0,0,0,0,0,0,0
23.2,29,0,0.4,0,0,0,0,0,0,0
24.8,32,0,0.3,0,0,0,0,0,0,0
25.2,44,0,0.2,6.92,0,0,0,0,0,0
25.2,36,0,0.2,0.58,0,0,0,0,0,0
24.7,33,0.2,0.3,0,0,0,0,0,1,0
26.3,33,0,0.2,0,0,0,0,0,0,0
26.5,38,0,0.2,0,0,0,0,0,0,0
26.8,34,0,0.2,0,0,0,0,0,0,0
26.9,32,0.8,0.2,0,0,0,0,0,1,0
27.3,38,0.4,0.2,2.25,0,0,0,0,1,0
28.1,42,0,0.4,7.25,0,0,0,0,0,0
28.1,30,0,0.2,0,0,0,0,0,0,0
28.2,25,0,0.1,0,0,0,0,0,0,0
27.7,29,0,0.1,0,0,0,0,0,0,0
28.4,36,0,0.1,0,0,0,0,0,0,0
28.7,37,0,0.2,0,0,0,0,0,0,0
29.2,43,0,0.2,4.08,0,0,0,0,0,0
27.3,35,0,0.3,0,0,0,0,0,0,0
26.6,36,0,0.1,0,0,0,0,0,0,0
27.7,37,0,0.2,0,0,0,0,0,0,0
28.9,35,0,0.1,0,0,0,0,0,0,0
28.9,30,0.2,0.1,0,0,0,0,0,1,0
27.9,35,0,0.2,1.42,0,0,0,0,0,0
27.8,45,0,0.2,7.92,0,0,1,0,0,0
27.9,40,0,0.2,0.67,0,0,0,0,0,0
28,42,0,0.1,4.67,0,0,0,0,0,0
29.1,48,0,0.2,8.58,0,0,1,0,0,0
30.2,42,0,0.2,7.58,0,0,0,0,0,0
29.9,42,0,0.3,2.75,0,0,0,0,0,0
29.3,41,0,0.2,7.25,0,0,0,0,0,0
27.1,34,0,0.2,0,0,0,0,0,0,0
25.8,39,0,0.3,2.17,0,0,0,0,0,0
28.1,51,0,0.3,10.17,0,0,1,0,0,0
28.3,43,0,0.2,7.75,0,0,0,0,0,0
29.2,34,0,0.2,0.92,0,0,0,0,0,0
30.2,33,0,0.1,0,0,0,0,0,0,0
30.5,38,0,0.2,3.08,0,0,0,0,0,0
29.9,39,0,0.4,3.17,0,0,0,0,0,0
29,32,0,0.3,0,0,0,0,0,0,0
27.9,35,0.2,0.5,0,0,0,0,0,1,0
28,33,0,0.5,0,0,0,0,0,0,0
27.9,32,0,0.6,0,0,0,0,0,0,0
27.9,34,0,0.5,0,0,0,0,0,0,0
29.8,37,0,0.3,0,0,0,0,0,0,0
30,34,0.2,0.3,0,0,0,0,0,1,0
30.1,32,0.2,0.4,0,0,0,0,0,0,0
29.4,35,0,0.5,0,0,0,0,0,0,0
29.4,37,0,0.4,0,0,0,0,0,0,0
30.4,33,0,0.4,0,0,0,0,0,0,0
30.8,36,0,0.5,0,0,0,0,0,0,0
31.2,34,0,0.5,0,0,0,0,0,0,0
30.2,38,0.2,0.4,0,0,0,0,0,0,0
29.8,34,0,0.4,0.08,0,0,0,0,0,0
29.4,38,0,0.4,0,0,0,0,0,0,0
29.4,39,0,0.3,0.67,0,0,0,0,0,0
31.6,34,0,0.4,2.58,0,0,0,0,0,0
31.3,31,0.2,0.8,0.25,0,0,0,0,0,0
31.6,45,4.2,1.2,3.58,0,0,0,0,0,0
29.1,58,8.6,0.8,3.25,0,0,0,0,1,0
30.4,51,0,1.3,0.33,0,0,1,0,0,0
28.7,63,0,1.6,0.25,0,0,0,0,0,1
30.2,58,0,2.1,0,0,0,1,0,0,0
30.9,55,0.2,1.6,0.83,0,0,1,0,0,0
29.2,62,0,0.6,0,0,0,0,0,0,1
29,62,0,0.5,0,0,0,0,0,0,1
29.4,55,0,0.5,0,0,0,1,0,0,0
29.2,60,0,0.5,0.17,0,0,1,0,0,1
29,60,0,0.4,0.08,0,0,1,0,0,1
29.4,61,0,0.5,0,0,0,0,0,0,1
27.6,72,53.8,0.4,6.17,0,0,0,0,1,0
26.2,85,0.2,0.2,8.75,1,0,0,0,1,0
26.8,79,0.4,0.6,0,0,0,0,0,1,0
26.6,74,0,0.8,0,0,0,0,0,0,1
27.3,69,0,0.7,0,0,0,0,0,0,1
27.5,64,0,0.5,0,0,0,0,0,0,1
27.9,62,0,0.5,0,0,0,0,0,0,1
28.4,60,0,0.3,0,0,0,1,0,0,1
28.6,60,0,0.3,0,0,0,1,0,0,1
28.2,61,0,0.3,0,0,0,0,0,0,1
28.6,60,0,0.3,0,0,0,1,0,0,1
28.9,57,0,0.3,0,0,0,1,0,0,0
29.1,58,0,0.2,0,0,0,1,0,0,0
27.6,67,20.2,0.3,6.5,0,0,0,0,1,0
26.9,79,4,0.3,11.42,0,0,0,0,1,0
27.1,79,0,0,2.92,0,0,0,0,0,1
28.3,72,0,0.1,0,0,0,0,0,0,1
29.5,69,0.4,0.2,4.25,0,0,0,0,1,0
28.6,68,0.4,0.2,1.58,0,0,0,0,1,0
28.8,68,0,0.2,1.17,0,0,0,0,0,1
27.5,77,24.2,0.3,10.17,0,0,0,0,1,0
26.9,79,0,0.2,4.92,0,0,0,0,0,1
28.2,73,0.2,0.1,0,0,0,0,0,1,0
27,75,0,0.5,0,0,0,0,0,0,1
26.2,81,2.2,0.2,7.08,1,0,0,0,1,0
